y,x,filtered_y,filtered_x
0.01516747,-0.0004882887,0.0007204403,-2.319324e-05
0.01565576,0.0,0.001971662,-3.953411e-05
0.01614404,0.0,0.002819904,-2.52882e-05
0.01614404,-0.0004882887,0.004064283,-6.116689e-05
0.01565576,-0.0004882887,0.004939458,-8.961207e-05
0.01565576,0.03372244,0.006105983,0.001500223
0.01565576,0.1050126,0.007017397,0.007626954
0.01565576,0.1416648,0.00815523,0.01687709
0.01614404,0.1856108,0.009117671,0.0282546
0.01565576,0.2295567,0.01024927,0.04319196
0.01614404,0.252018,0.01121891,0.05941191
0.01516747,0.2525368,0.01232229,0.07626617
0.01516747,0.2530251,0.01323466,0.09266811
0.01220722,-0.003936827,0.0005798312,-0.0001869956
0.01220722,-0.003448539,0.001568184,-0.0004825461
0.01220722,-0.003448539,0.002200389,-0.0006468982
0.0131838,-0.003936827,0.003196117,-0.0009509657
0.01269551,-0.003936827,0.00392411,-0.001169284
0.01269551,-0.007843137,0.004853624,-0.001649441
0.01269551,-0.003936827,0.005606962,-0.002008017
0.01220722,-0.003448539,0.006493697,-0.002157991
0.02343786,-0.00296025,0.007760367,-0.00243191
0.01269551,-0.003448539,0.009028586,-0.002582817
0.01663233,0.0,0.00079002,0.0
0.01614404,0.0,0.002113457,0.0
0.01663233,0.0004882887,0.002958496,2.319324e-05
0.01614404,-0.0004882887,0.004243026,1.634086e-05
0.01614404,0.0,0.005106568,-1.42459e-05
0.01614404,-0.0004882887,0.006343785,-1.05078e-05
0.01614404,0.0,0.007253358,-5.062303e-05
0.01663233,0.0,0.00079002,0.0
0.01614404,0.0004882887,0.002113457,2.319324e-05
0.01614404,0.0,0.002935303,3.953411e-05
0.01663233,0.0,0.004226685,2.52882e-05
0.01614404,0.0,0.005120813,3.797364e-05
0.01614404,0.0,0.0063311,2.688473e-05
0.01614404,0.0,0.007264447,3.673884e-05
0.01614404,0.0,0.008443507,2.810718e-05
0.01614404,0.0004882887,0.009406996,5.895854e-05
0.01663233,0.0,0.0105847,6.858074e-05
0.01614404,0.0,0.0007668267,0.0
0.01712062,0.0,0.00212031,0.0
0.01663233,-0.0004882887,0.003012276,-2.319324e-05
0.01614404,0.0,0.004255629,-3.953411e-05
0.01614404,0.0004882887,0.00515563,-2.094957e-06
0.01565576,0.0,0.006337622,1.560464e-06
0.01663233,0.0,0.007282388,-1.596523e-06
0.01614404,0.0,0.008488055,1.234803e-06
0.01614404,0.0,0.009428164,-1.222459e-06
0.01614404,0.0,0.01060335,9.735375e-07
